arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,out_len,red_len,foreign
native:direct,cfloat,64,64,512,T,native:direct,0.01809,0.01813,0.0054,956.5,1.007,0.00e+00,64,64,64,0
native:cta,cfloat,64,64,512,T,native:cta,0.01134,0.01138,0.0123,1525.2,1.605,0.00e+00,64,64,64,0
vendor,cdouble,64,64,512,T,vendor:auto,0.02487,0.02486,0.0277,1391.5,1.465,0.00e+00,64,64,64,0
native:direct,cdouble,64,64,512,T,native:direct,0.02285,0.02284,0.0049,1514.2,1.594,0.00e+00,64,64,64,0
native:cta,cdouble,64,64,512,T,native:cta,0.02876,0.02879,0.0042,1203.0,1.266,0.00e+00,64,64,64,0
vendor,float,64,64,512,C,vendor:auto,0.01047,0.01049,0.0101,826.6,0.870,0.00e+00,64,64,64,0
native:direct,float,64,64,512,C,native:direct,0.01188,0.01189,0.0065,727.9,0.766,0.00e+00,64,64,64,0
native:cta,float,64,64,512,C,native:cta,0.01018,0.01018,0.0078,849.6,0.894,0.00e+00,64,64,64,0
vendor,double,64,64,512,C,vendor:auto,0.01331,0.01334,0.0090,1299.9,1.368,0.00e+00,64,64,64,0
native:direct,double,64,64,512,C,native:direct,0.01269,0.01274,0.0071,1363.1,1.435,0.00e+00,64,64,64,0
native:cta,double,64,64,512,C,native:cta,0.02183,0.02179,0.0064,792.5,0.834,0.00e+00,64,64,64,0
vendor,cfloat,64,64,512,C,vendor:auto,0.01197,0.01218,0.0596,1445.2,1.521,0.00e+00,64,64,64,0
native:direct,cfloat,64,64,512,C,native:direct,0.01816,0.01815,0.0060,952.8,1.003,0.00e+00,64,64,64,0
native:cta,cfloat,64,64,512,C,native:cta,0.01125,0.01126,0.0069,1538.5,1.619,0.00e+00,64,64,64,0
