cfg,rep,variant,type,n,batch,nb,W,med_ms,min_ms,rel_sd,gflops,residual,upper_changed,nonfinite,info_nonzero
vv,1,blocked,cfloat,256,128,96,32,0.5128,0.5123,0.0004,5584.13,1.498e-09,0,0,0
vv,2,vendor,cfloat,256,128,96,32,0.2891,0.2890,0.0002,9905.42,1.120e-09,0,0,0
vv,2,blocked,cfloat,256,128,96,32,0.5115,0.5114,0.0001,5597.86,1.498e-09,0,0,0
vv,3,vendor,cfloat,256,128,96,32,0.2928,0.2831,0.0168,9779.57,1.120e-09,0,0,0
vv,3,blocked,cfloat,256,128,96,32,0.5173,0.5117,0.0054,5535.43,1.498e-09,0,0,0
vv,4,vendor,cfloat,256,128,96,32,0.2984,0.2904,0.0136,9593.97,1.120e-09,0,0,0
vv,4,blocked,cfloat,256,128,96,32,0.5123,0.5122,0.0001,5589.04,1.498e-09,0,0,0
vv,5,vendor,cfloat,256,128,96,32,0.2824,0.2815,0.0016,10140.00,1.120e-09,0,0,0
vv,5,blocked,cfloat,256,128,96,32,0.5134,0.5126,0.0008,5577.04,1.498e-09,0,0,0
nv,1,vendor,cfloat,256,128,96,32,0.2971,0.2967,0.0007,9638.93,1.120e-09,0,0,0
nv,1,blocked,cfloat,256,128,96,32,0.7431,0.7415,0.0011,3853.03,1.498e-09,0,0,0
nv,2,vendor,cfloat,256,128,96,32,0.2957,0.2953,0.0008,9681.85,1.120e-09,0,0,0
nv,2,blocked,cfloat,256,128,96,32,0.7436,0.7432,0.0003,3850.51,1.498e-09,0,0,0
nv,3,vendor,cfloat,256,128,96,32,0.2993,0.2972,0.0035,9565.96,1.120e-09,0,0,0
nv,3,blocked,cfloat,256,128,96,32,0.7441,0.7426,0.0010,3848.12,1.498e-09,0,0,0
nv,4,vendor,cfloat,256,128,96,32,0.2961,0.2957,0.0007,9670.28,1.120e-09,0,0,0
nv,4,blocked,cfloat,256,128,96,32,0.7428,0.7416,0.0008,3854.86,1.498e-09,0,0,0
nv,5,vendor,cfloat,256,128,96,32,0.2975,0.2971,0.0007,9624.19,1.120e-09,0,0,0
nv,5,blocked,cfloat,256,128,96,32,0.7424,0.7423,0.0001,3856.67,1.498e-09,0,0,0
