arm,type,m,n,batch,transA,route,median_ms,mean_ms,rel_sd,GBs,frac_of_950,relerr,ld,MB,foreign
native:cta,cdouble,384,128,128,T,native:cta,0.12080,0.12119,0.0107,842.0,0.886,0.00e+00,384,96,0
vendor,cdouble,384,128,256,T,vendor:auto,0.23772,0.23764,0.0081,855.7,0.901,0.00e+00,384,192,0
native:cta,cdouble,384,128,256,T,native:cta,0.22782,0.22875,0.0091,892.9,0.940,0.00e+00,384,192,0
vendor,cdouble,384,128,512,T,vendor:auto,0.45369,0.45411,0.0027,896.8,0.944,0.00e+00,384,384,0
native:cta,cdouble,384,128,512,T,native:cta,0.44297,0.44347,0.0028,918.5,0.967,0.00e+00,384,384,0
vendor,cdouble,384,256,128,T,vendor:auto,0.24720,0.24762,0.0066,819.7,0.863,0.00e+00,384,192,0
native:cta,cdouble,384,256,128,T,native:cta,0.22781,0.22776,0.0040,889.5,0.936,0.00e+00,384,192,0
vendor,cdouble,384,256,256,T,vendor:auto,0.45796,0.45814,0.0028,885.0,0.932,0.00e+00,384,384,0
native:cta,cdouble,384,256,256,T,native:cta,0.44141,0.44129,0.0016,918.1,0.966,0.00e+00,384,384,0
vendor,cdouble,384,256,512,T,vendor:auto,0.89839,0.89867,0.0009,902.2,0.950,0.00e+00,384,768,0
native:cta,cdouble,384,256,512,T,native:cta,0.87090,0.87089,0.0012,930.7,0.980,0.00e+00,384,768,0
vendor,cdouble,384,512,128,T,vendor:auto,0.45181,0.45180,0.0020,895.3,0.942,0.00e+00,384,384,0
native:cta,cdouble,384,512,128,T,native:cta,0.44046,0.44060,0.0023,918.3,0.967,0.00e+00,384,384,0
vendor,cdouble,384,512,256,T,vendor:auto,0.89848,0.89857,0.0026,900.4,0.948,0.00e+00,384,768,0
native:cta,cdouble,384,512,256,T,native:cta,0.86893,0.86905,0.0012,931.0,0.980,0.00e+00,384,768,0
vendor,cdouble,384,512,512,T,vendor:auto,1.78861,1.78708,0.0038,904.6,0.952,0.00e+00,384,1536,0
native:cta,cdouble,384,512,512,T,native:cta,1.72490,1.72512,0.0006,938.0,0.987,0.00e+00,384,1536,0
vendor,cdouble,448,128,128,T,vendor:auto,0.13822,0.13832,0.0043,858.2,0.903,0.00e+00,448,112,0
native:cta,cdouble,448,128,128,T,native:cta,0.13851,0.13851,0.0088,856.4,0.901,0.00e+00,448,112,0
vendor,cdouble,448,128,256,T,vendor:auto,0.27810,0.27730,0.0088,853.1,0.898,0.00e+00,448,224,0
native:cta,cdouble,448,128,256,T,native:cta,0.26387,0.26429,0.0036,899.1,0.946,0.00e+00,448,224,0
vendor,cdouble,448,128,512,T,vendor:auto,0.52429,0.52471,0.0038,905.0,0.953,0.00e+00,448,448,0
native:cta,cdouble,448,128,512,T,native:cta,0.51275,0.51279,0.0011,925.4,0.974,0.00e+00,448,448,0
vendor,cdouble,448,256,128,T,vendor:auto,0.28439,0.28452,0.0076,831.0,0.875,0.00e+00,448,224,0
native:cta,cdouble,448,256,128,T,native:cta,0.26289,0.26284,0.0036,898.9,0.946,0.00e+00,448,224,0
vendor,cdouble,448,256,256,T,vendor:auto,0.52992,0.53057,0.0031,891.9,0.939,0.00e+00,448,448,0
native:cta,cdouble,448,256,256,T,native:cta,0.51165,0.51173,0.0019,923.8,0.972,0.00e+00,448,448,0
vendor,cdouble,448,256,512,T,vendor:auto,1.04465,1.04432,0.0017,904.9,0.953,0.00e+00,448,896,0
native:cta,cdouble,448,256,512,T,native:cta,1.01232,1.01199,0.0012,933.8,0.983,0.00e+00,448,896,0
vendor,cdouble,448,512,128,T,vendor:auto,0.52012,0.52027,0.0035,907.0,0.955,0.00e+00,448,448,0
native:cta,cdouble,448,512,128,T,native:cta,0.51094,0.51125,0.0026,923.3,0.972,0.00e+00,448,448,0
vendor,cdouble,448,512,256,T,vendor:auto,1.03639,1.03630,0.0019,910.3,0.958,0.00e+00,448,896,0
native:cta,cdouble,448,512,256,T,native:cta,1.01012,1.01001,0.0016,934.0,0.983,0.00e+00,448,896,0
vendor,cdouble,448,512,512,T,vendor:auto,2.05893,2.05892,0.0025,916.5,0.965,0.00e+00,448,1792,0
native:cta,cdouble,448,512,512,T,native:cta,2.00713,2.00707,0.0005,940.1,0.990,0.00e+00,448,1792,0
vendor,cdouble,512,128,128,T,vendor:auto,0.15357,0.15376,0.0040,882.5,0.929,0.00e+00,512,128,0
native:cta,cdouble,512,128,128,T,native:cta,0.15645,0.15653,0.0066,866.3,0.912,0.00e+00,512,128,0
vendor,cdouble,512,128,256,T,vendor:auto,0.30628,0.30742,0.0124,885.0,0.932,0.00e+00,512,256,0
native:cta,cdouble,512,128,256,T,native:cta,0.29947,0.29964,0.0037,905.1,0.953,0.00e+00,512,256,0
vendor,cdouble,512,128,512,T,vendor:auto,0.59020,0.59047,0.0024,918.5,0.967,0.00e+00,512,512,0
native:cta,cdouble,512,128,512,T,native:cta,0.58635,0.58647,0.0041,924.6,0.973,0.00e+00,512,512,0
vendor,cdouble,512,256,128,T,vendor:auto,0.32178,0.32244,0.0057,839.1,0.883,0.00e+00,512,256,0
native:cta,cdouble,512,256,128,T,native:cta,0.29841,0.29896,0.0045,904.8,0.952,0.00e+00,512,256,0
vendor,cdouble,512,256,256,T,vendor:auto,0.60612,0.60596,0.0026,890.9,0.938,0.00e+00,512,512,0
native:cta,cdouble,512,256,256,T,native:cta,0.58470,0.58451,0.0036,923.6,0.972,0.00e+00,512,512,0
vendor,cdouble,512,256,512,T,vendor:auto,1.19458,1.19459,0.0015,904.1,0.952,0.00e+00,512,1024,0
native:cta,cdouble,512,256,512,T,native:cta,1.15393,1.15399,0.0011,936.0,0.985,0.00e+00,512,1024,0
vendor,cdouble,512,512,128,T,vendor:auto,0.58805,0.58850,0.0033,916.5,0.965,0.00e+00,512,512,0
native:cta,cdouble,512,512,128,T,native:cta,0.58281,0.58254,0.0018,924.8,0.973,0.00e+00,512,512,0
vendor,cdouble,512,512,256,T,vendor:auto,1.16853,1.16873,0.0031,922.5,0.971,0.00e+00,512,1024,0
native:cta,cdouble,512,512,256,T,native:cta,1.15203,1.15172,0.0011,935.7,0.985,0.00e+00,512,1024,0
vendor,cdouble,512,512,512,T,vendor:auto,2.31685,2.31929,0.0027,930.5,0.979,0.00e+00,512,2048,0
native:cta,cdouble,512,512,512,T,native:cta,2.29043,2.29060,0.0004,941.3,0.991,0.00e+00,512,2048,0
vendor,cdouble,32,128,128,C,vendor:auto,0.01310,0.01309,0.0066,665.6,0.701,0.00e+00,32,8,0
native:cta,cdouble,32,128,128,C,native:cta,0.02584,0.02585,0.0024,337.4,0.355,0.00e+00,32,8,0
vendor,cdouble,32,128,256,C,vendor:auto,0.01693,0.01699,0.0110,1029.6,1.084,0.00e+00,32,16,0
native:cta,cdouble,32,128,256,C,native:cta,0.04587,0.04588,0.0018,380.1,0.400,0.00e+00,32,16,0
vendor,cdouble,32,128,512,C,vendor:auto,0.02525,0.02521,0.0070,1381.0,1.454,0.00e+00,32,32,0
native:cta,cdouble,32,128,512,C,native:cta,0.08557,0.08554,0.0012,407.5,0.429,0.00e+00,32,32,0
vendor,cdouble,32,256,128,C,vendor:auto,0.01665,0.01666,0.0090,1042.8,1.098,0.00e+00,32,16,0
native:cta,cdouble,32,256,128,C,native:cta,0.04582,0.04583,0.0020,379.0,0.399,0.00e+00,32,16,0
vendor,cdouble,32,256,256,C,vendor:auto,0.02489,0.02498,0.0121,1395.7,1.469,0.00e+00,32,32,0
native:cta,cdouble,32,256,256,C,native:cta,0.08585,0.08604,0.0082,404.6,0.426,0.00e+00,32,32,0
vendor,cdouble,32,256,512,C,vendor:auto,0.04010,0.04014,0.0035,1732.5,1.824,0.00e+00,32,64,0
native:cta,cdouble,32,256,512,C,native:cta,0.16573,0.16587,0.0014,419.2,0.441,0.00e+00,32,64,0
vendor,cdouble,32,512,128,C,vendor:auto,0.02537,0.02530,0.0087,1366.6,1.439,0.00e+00,32,32,0
native:cta,cdouble,32,512,128,C,native:cta,0.08573,0.08573,0.0017,404.4,0.426,0.00e+00,32,32,0
vendor,cdouble,32,512,256,C,vendor:auto,0.04016,0.04038,0.0151,1726.5,1.817,0.00e+00,32,64,0
native:cta,cdouble,32,512,256,C,native:cta,0.16528,0.16539,0.0015,419.5,0.442,0.00e+00,32,64,0
vendor,cdouble,32,512,512,C,vendor:auto,0.16108,0.16103,0.0033,860.9,0.906,0.00e+00,32,128,0
native:cta,cdouble,32,512,512,C,native:cta,0.32562,0.32568,0.0010,425.9,0.448,0.00e+00,32,128,0
vendor,cdouble,48,128,128,C,vendor:auto,0.01434,0.01440,0.0143,902.5,0.950,0.00e+00,48,12,0
native:cta,cdouble,48,128,128,C,native:cta,0.03409,0.03412,0.0032,379.7,0.400,0.00e+00,48,12,0
vendor,cdouble,48,128,256,C,vendor:auto,0.02147,0.02145,0.0186,1205.9,1.269,0.00e+00,48,24,0
native:cta,cdouble,48,128,256,C,native:cta,0.06228,0.06226,0.0011,415.6,0.438,0.00e+00,48,24,0
vendor,cdouble,48,128,512,C,vendor:auto,0.03167,0.03175,0.0081,1635.0,1.721,0.00e+00,48,48,0
native:cta,cdouble,48,128,512,C,native:cta,0.11839,0.11841,0.0010,437.3,0.460,0.00e+00,48,48,0
vendor,cdouble,48,256,128,C,vendor:auto,0.02097,0.02105,0.0133,1229.8,1.295,0.00e+00,48,24,0
native:cta,cdouble,48,256,128,C,native:cta,0.06233,0.06232,0.0015,413.7,0.436,0.00e+00,48,24,0
vendor,cdouble,48,256,256,C,vendor:auto,0.03179,0.03209,0.0196,1622.4,1.708,0.00e+00,48,48,0
native:cta,cdouble,48,256,256,C,native:cta,0.11864,0.11866,0.0008,434.7,0.458,0.00e+00,48,48,0
vendor,cdouble,48,256,512,C,vendor:auto,0.17590,0.17537,0.0375,586.4,0.617,0.00e+00,48,96,0
native:cta,cdouble,48,256,512,C,native:cta,0.23367,0.23365,0.0014,441.4,0.465,0.00e+00,48,96,0
