type,side,n,q,batch,route,nb,ms,sd_pct
complex<float>,Right,256,4096,128,native,32,17.9514,0.07402765243936406
complex<float>,Right,256,256,128,native,64,1.20379,4.484561260685004
complex<float>,Right,256,1024,128,native,64,4.45517,0.41873374080001435
complex<float>,Right,256,4096,128,native,64,18.26,0.028992825848849945
complex<float>,Right,256,256,128,native,128,1.2574,0.34285589311277237
complex<float>,Right,256,1024,128,native,128,4.49364,2.4872931520994115
complex<float>,Right,256,4096,128,native,128,18.2472,0.06661569994300495
complex<float>,Right,256,256,128,native,256,1.24267,0.26477021252625393
complex<float>,Right,256,1024,128,native,256,4.39688,0.15452434453521585
complex<float>,Right,256,4096,128,native,256,17.9143,0.06555321726218719
complex<float>,Right,256,256,512,vendor,-,35.2881,0.2930421303498913
complex<float>,Right,256,1024,512,vendor,-,140.417,0.12070404580641947
complex<float>,Right,256,256,512,native,32,4.42644,0.21235959371413596
complex<float>,Right,256,1024,512,native,32,17.9678,0.17167599817451218
complex<float>,Right,256,256,512,native,64,4.68173,3.791461703259265
complex<float>,Right,256,1024,512,native,64,18.2956,0.25530455410043945
complex<float>,Right,256,256,512,native,128,4.67933,3.7246999036186805
complex<float>,Right,256,1024,512,native,128,18.2498,0.08841959911889445
complex<float>,Right,256,256,512,native,256,4.77447,0.43283757150008273
complex<float>,Right,256,1024,512,native,256,17.9421,0.08691736195874507
complex<float>,Right,512,256,128,vendor,-,40.072,1.4953558594529843
complex<float>,Right,512,1024,128,vendor,-,147.492,0.06483090608304179
complex<float>,Right,512,4096,128,vendor,-,584.021,0.08733504445901775
complex<float>,Right,512,256,128,native,32,4.82001,0.44401567631602423
complex<float>,Right,512,1024,128,native,32,17.3847,0.20431989047840918
complex<float>,Right,512,4096,128,native,32,70.8249,1.2704133715684738
complex<float>,Right,512,256,128,native,64,4.79749,0.3414452140598521
complex<float>,Right,512,1024,128,native,64,17.3365,0.2928838000749863
complex<float>,Right,512,4096,128,native,64,71.1567,0.9216784926788343
complex<float>,Right,512,256,128,native,128,4.79555,0.32541418606833417
complex<float>,Right,512,1024,128,native,128,17.3332,0.19300994623035558
complex<float>,Right,512,4096,128,native,128,71.027,0.8867923465724302
complex<float>,Right,512,256,128,native,256,4.79277,0.39336959628774176
complex<float>,Right,512,1024,128,native,256,17.3584,0.27610090791778047
